event_type,start_date,end_date,depth,EVENT_NUMBER,EVENT_CAT,EVENT_DURATION,EVENT_ONSET_RATE,EVENT_DECLINE_RATE,EVENT_INTENSITY_MEAN,EVENT_INTENSITY_MAX,EVENT_INTENSITY_VAR,EVENT_INTENSITY_CUMULATIVE,EVENT_INTENSITY_MEAN_RELPERC,EVENT_INTENSITY_MAX_RELPERC,EVENT_INTENSITY_VAR_RELPERC,EVENT_INTENSITY_CUMULATIVE_RELPERC
MHW,2022-01-02 12:00:00,2022-01-07 12:00:00,47,33.0,1.0,6.0,0.203,0.106,1.435,1.589,0.145,8.608,0.341,0.499,0.14,2.048
MHW,2022-02-14 12:00:00,2022-02-25 12:00:00,47,34.0,1.0,12.0,0.116,0.27,2.275,2.663,0.212,27.302,0.842,1.253,0.235,10.101
MHW,2022-03-12 12:00:00,2022-04-21 12:00:00,47,35.0,2.0,41.0,0.062,0.069,1.384,2.19,0.347,56.759,0.481,1.301,0.332,19.716
MHW,2022-05-13 12:00:00,2022-05-17 12:00:00,47,36.0,1.0,5.0,0.273,0.123,1.387,1.468,0.046,6.934,0.467,0.562,0.053,2.334
MHW,2022-07-26 12:00:00,2022-07-30 12:00:00,47,37.0,1.0,5.0,0.129,0.361,1.219,1.444,0.121,6.096,0.188,0.415,0.124,0.939
MCS,2008-12-26 12:00:00,2008-12-30 12:00:00,47,1.0,1.0,5.0,-0.13,-0.213,-1.406,-1.596,0.147,-7.028,-0.268,-0.457,0.144,-1.339
MCS,2010-03-05 12:00:00,2010-03-09 12:00:00,47,2.0,1.0,5.0,-0.87,-0.178,-2.018,-2.303,0.181,-10.091,-0.623,-0.861,0.152,-3.114
MCS,2010-07-15 12:00:00,2010-07-19 12:00:00,47,3.0,2.0,5.0,-0.764,-0.298,-1.795,-2.216,0.32,-8.973,-0.715,-1.138,0.32,-3.573
MCS,2015-12-10 12:00:00,2016-01-03 12:00:00,47,4.0,2.0,25.0,-0.068,-0.461,-1.712,-2.558,0.378,-42.812,-0.585,-1.434,0.377,-14.628
MCS,2016-03-27 12:00:00,2016-04-02 12:00:00,47,5.0,2.0,7.0,-0.808,-0.201,-1.297,-1.9,0.354,-9.081,-0.433,-1.036,0.356,-3.028
MCS,2016-10-04 12:00:00,2016-10-08 12:00:00,47,6.0,1.0,5.0,-0.131,-0.188,-1.046,-1.18,0.128,-5.231,-0.374,-0.508,0.121,-1.868
MCS,2018-11-03 12:00:00,2018-11-11 12:00:00,47,7.0,2.0,9.0,-0.182,-0.371,-1.24,-1.814,0.38,-11.162,-0.475,-1.03,0.366,-4.273
MCS,2018-11-30 12:00:00,2018-12-05 12:00:00,47,8.0,1.0,6.0,-0.206,-0.274,-1.33,-1.681,0.201,-7.982,-0.281,-0.62,0.196,-1.684
MCS,2018-12-08 12:00:00,2018-12-23 12:00:00,47,9.0,1.0,16.0,-0.099,-0.16,-1.534,-2.153,0.28,-24.544,-0.409,-1.029,0.281,-6.547
MCS,2019-11-26 12:00:00,2019-12-01 12:00:00,47,10.0,1.0,6.0,-0.172,-0.226,-1.226,-1.43,0.176,-7.358,-0.237,-0.434,0.165,-1.423
MCS,2023-01-13 12:00:00,2023-01-18 12:00:00,47,11.0,2.0,6.0,-0.502,-0.725,-2.147,-2.688,0.402,-12.883,-0.928,-1.462,0.397,-5.567
MCS,2023-06-28 12:00:00,2023-07-03 12:00:00,47,12.0,1.0,6.0,-1.644,-0.27,-1.367,-2.02,0.32,-8.201,-0.342,-0.992,0.318,-2.052
